IPS ID,Event Time,Location,Instruments,Catalog
2011-08-04T21:00:00-IPS-001,2011-08-04T21:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-08-05T17:20:00-IPS-001,2011-08-05T17:20Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-08-06T12:42:00-IPS-001,2011-08-06T12:42Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-08-13T19:43:00-IPS-001,2011-08-13T19:43Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-08-20T21:51:00-IPS-001,2011-08-20T21:51Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-09-04T22:40:00-IPS-001,2011-09-04T22:40Z,Earth,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-09-06T23:33:00-IPS-001,2011-09-06T23:33Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-09-08T10:00:00-IPS-001,2011-09-08T10:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-09-08T16:10:00-IPS-001,2011-09-08T16:10Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-09-09T11:47:00-IPS-001,2011-09-09T11:47Z,Earth,ACE: MAG;ACE: SWEPAM;,SWRC_CATALOG
2011-09-11T09:00:00-IPS-001,2011-09-11T09:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-09-16T19:00:00-IPS-001,2011-09-16T19:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-09-17T02:56:00-IPS-001,2011-09-17T02:56Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-09-17T10:00:00-IPS-001,2011-09-17T10:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-09-18T10:00:00-IPS-001,2011-09-18T10:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-09-21T06:30:00-IPS-001,2011-09-21T06:30Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-09-22T03:00:00-IPS-001,2011-09-22T03:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-09-22T10:24:00-IPS-001,2011-09-22T10:24Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-09-24T04:00:00-IPS-001,2011-09-24T04:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-09-24T08:00:00-IPS-001,2011-09-24T08:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-09-24T09:06:00-IPS-001,2011-09-24T09:06Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-09-26T12:10:00-IPS-001,2011-09-26T12:10Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-09-28T20:30:00-IPS-001,2011-09-28T20:30Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-10-01T19:00:00-IPS-001,2011-10-01T19:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-10-02T06:53:00-IPS-001,2011-10-02T06:53Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-10-03T03:00:00-IPS-001,2011-10-03T03:00Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
2011-10-03T22:30:00-IPS-001,2011-10-03T22:30Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-10-05T02:32:00-IPS-001,2011-10-05T02:32Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-10-05T06:47:00-IPS-001,2011-10-05T06:47Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-10-06T12:00:00-IPS-001,2011-10-06T12:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-10-07T02:47:00-IPS-001,2011-10-07T02:47Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-10-07T11:30:00-IPS-001,2011-10-07T11:30Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-10-15T08:26:00-IPS-001,2011-10-15T08:26Z,MESSENGER,MESSENGER: MAG,WINSLOW_MESSENGER_ICME_CATALOG
2011-10-18T02:00:00-IPS-001,2011-10-18T02:00Z,STEREO B,STEREO B: IMPACT;STEREO B: PLASTIC;,SWRC_CATALOG
2011-10-22T22:00:00-IPS-001,2011-10-22T22:00Z,Earth,ACE: SWEPAM;ACE: MAG;,SWRC_CATALOG
2011-10-24T17:30:00-IPS-001,2011-10-24T17:30Z,STEREO A,STEREO A: IMPACT;STEREO A: PLASTIC;,SWRC_CATALOG
