Flare ID,Begin Time,Peak Time,End Time,Class Type,Source Location,Active Region,Instruments,Linked Events Activity ID
2015-08-22T13:17:00-FLR-001,2015-08-22T13:17Z,2015-08-22T13:23Z,2015-08-22T13:29Z,M2.2,S16E19,12304,GOES15: SEM/XRS 1.0-8.0,None
2015-08-22T21:19:00-FLR-001,2015-08-22T21:19Z,2015-08-22T21:24Z,2015-08-22T21:28Z,M3.5,S16E15,12304,GOES15: SEM/XRS 1.0-8.0,None
2015-08-24T07:26:00-FLR-001,2015-08-24T07:26Z,2015-08-24T07:33Z,2015-08-24T07:35Z,M5.6,S15W04,12403,GOES15: SEM/XRS 1.0-8.0,None
2015-08-24T17:40:00-FLR-001,2015-08-24T17:40Z,2015-08-24T17:46Z,2015-08-24T17:49Z,M1.0,S14W04,12403,GOES15: SEM/XRS 1.0-8.0,None
2015-08-27T04:48:00-FLR-001,2015-08-27T04:48Z,2015-08-27T05:44Z,2015-08-27T06:03Z,M2.9,S16W47,12403,GOES15: SEM/XRS 1.0-8.0,None
2015-08-28T13:04:00-FLR-001,2015-08-28T13:04Z,2015-08-28T13:16Z,2015-08-28T13:23Z,M2.2,S14W66,12403,GOES15: SEM/XRS 1.0-8.0,None
2015-08-28T18:56:00-FLR-001,2015-08-28T18:56Z,2015-08-28T19:03Z,2015-08-28T19:06Z,M2.1,S15W75,12403,GOES15: SEM/XRS 1.0-8.0,None
2015-08-30T02:01:00-FLR-001,2015-08-30T02:01Z,2015-08-30T03:30Z,2015-08-30T04:23Z,M1.4,S15W80,12403,GOES15: SEM/XRS 1.0-8.0,None
2015-09-11T21:30:00-FLR-001,2015-09-11T21:30Z,2015-09-11T21:37Z,,C1.3,S10W21,12414,GOES15: SEM/XRS 1.0-8.0,None
2015-09-20T04:55:00-FLR-001,2015-09-20T04:55Z,2015-09-20T05:03Z,2015-09-20T05:17Z,M1.5,N09E83,12415,GOES15: SEM/XRS 1.0-8.0,None
2015-09-20T17:32:00-FLR-001,2015-09-20T17:32Z,2015-09-20T18:03Z,2015-09-20T18:29Z,M2.1,S22W50,12415,GOES15: SEM/XRS 1.0-8.0,2015-09-20T18:12:00-CME-001
2015-09-27T10:20:00-FLR-001,2015-09-27T10:20Z,2015-09-27T10:40Z,2015-09-27T10:46Z,M1.9,S10W57,12423,GOES15: SEM/XRS 1.0-8.0,None
2015-09-27T20:54:00-FLR-001,2015-09-27T20:54Z,2015-09-27T21:00Z,2015-09-27T21:15Z,M1.0,S21W15,12422,GOES15: SEM/XRS 1.0-8.0,None
2015-09-28T03:45:00-FLR-001,2015-09-28T03:45Z,2015-09-28T03:55Z,2015-09-28T03:59Z,M3.6,S08W71,12423,GOES15: SEM/XRS 1.0-8.0,2015-09-28T05:12:00-CME-001
2015-09-28T07:27:00-FLR-001,2015-09-28T07:27Z,2015-09-28T07:34Z,2015-09-28T07:46Z,M1.1,S21W22,12422,GOES15: SEM/XRS 1.0-8.0,None
2015-09-28T13:01:00-FLR-001,2015-09-28T13:01Z,2015-09-28T13:18Z,2015-09-28T13:29Z,M1.1,S21W22,12422,GOES15: SEM/XRS 1.0-8.0,None
2015-09-28T14:53:00-FLR-001,2015-09-28T14:53Z,2015-09-28T14:58Z,2015-09-28T15:03Z,M7.6,S20W23,12422,GOES15: SEM/XRS 1.0-8.0,None
2015-09-29T03:11:00-FLR-001,2015-09-29T03:11Z,2015-09-29T03:16Z,2015-09-29T03:31Z,M1.2,S09W80,12423,GOES15: SEM/XRS 1.0-8.0,None
2015-09-29T03:41:00-FLR-001,2015-09-29T03:41Z,2015-09-29T03:43Z,2015-09-29T03:53Z,M1.1,S09W88,12423,GOES15: SEM/XRS 1.0-8.0,None
2015-09-29T04:41:00-FLR-001,2015-09-29T04:41Z,2015-09-29T04:46Z,2015-09-29T04:55Z,C5.1,S07W79,12423,GOES15: SEM/XRS 1.0-8.0,None
2015-09-29T05:05:00-FLR-001,2015-09-29T05:05Z,2015-09-29T05:16Z,2015-09-29T05:33Z,M2.9,S09W80,12423,GOES15: SEM/XRS 1.0-8.0,None
2015-09-29T05:33:00-FLR-001,2015-09-29T05:33Z,2015-09-29T05:37Z,2015-09-29T05:39Z,M1.2,S09W80,12423,GOES15: SEM/XRS 1.0-8.0,None
2015-09-29T05:53:00-FLR-001,2015-09-29T05:53Z,2015-09-29T05:56Z,2015-09-29T06:04Z,M1.0,S19W37,12422,GOES15: SEM/XRS 1.0-8.0,None
2015-09-29T06:15:00-FLR-001,2015-09-29T06:15Z,2015-09-29T06:18Z,2015-09-29T06:23Z,C8.6,S19W38,12422,GOES15: SEM/XRS 1.0-8.0,None
2015-09-29T06:39:00-FLR-001,2015-09-29T06:39Z,2015-09-29T06:43Z,2015-09-29T06:46Z,M1.4,S20W38,12422,GOES15: SEM/XRS 1.0-8.0,None
2015-09-29T08:46:00-FLR-001,2015-09-29T08:46Z,2015-09-29T08:55Z,2015-09-29T08:51Z,M1.3,S09W88,12423,GOES15: SEM/XRS 1.0-8.0,None
2015-09-29T09:22:00-FLR-001,2015-09-29T09:22Z,2015-09-29T09:26Z,2015-09-29T09:28Z,C5.2,S21W33,12422,GOES15: SEM/XRS 1.0-8.0,None
2015-09-29T11:09:00-FLR-001,2015-09-29T11:09Z,2015-09-29T11:15Z,2015-09-29T11:20Z,M1.6,S20W39,12422,GOES15: SEM/XRS 1.0-8.0,None
2015-09-29T19:20:00-FLR-001,2015-09-29T19:20Z,2015-09-29T19:24Z,2015-09-29T19:27Z,M1.1,S15W44,12422,GOES15: SEM/XRS 1.0-8.0,None
2015-09-30T10:49:00-FLR-001,2015-09-30T10:49Z,2015-09-30T10:59Z,2015-09-30T11:13Z,M1.3,S20W50,12422,GOES15: SEM/XRS 1.0-8.0,None
2015-09-30T13:18:00-FLR-001,2015-09-30T13:18Z,2015-09-30T13:20Z,2015-09-30T13:21Z,M1.1,S20W55,12422,GOES15: SEM/XRS 1.0-8.0,None
