GST ID,Start Time,Observed Time,KP Index,Source,Linked Events Activity ID
2014-08-19T21:00:00-GST-001,2014-08-19T21:00Z,2014-08-20T00:00Z,6,NOAA,2014-08-15T21:12:00-CME-001;2014-08-19T05:57:00-IPS-001;
2014-09-12T15:00:00-GST-001,2014-09-12T15:00Z,2014-09-12T18:00Z,6,NOAA,2014-09-10T18:18:00-CME-001;2014-09-12T15:26:00-IPS-001;
2014-09-12T15:00:00-GST-001,2014-09-12T15:00Z,2014-09-13T00:00Z,7,NOAA,2014-09-10T18:18:00-CME-001;2014-09-12T15:26:00-IPS-001;
2015-01-07T06:00:00-GST-001,2015-01-07T06:00Z,2015-01-07T09:00Z,6,NOAA,2015-01-07T05:24:00-IPS-001;2015-01-07T08:40:00-MPC-001;
2015-01-07T06:00:00-GST-001,2015-01-07T06:00Z,2015-01-07T12:00Z,7,NOAA,2015-01-07T05:24:00-IPS-001;2015-01-07T08:40:00-MPC-001;
2015-03-17T06:00:00-GST-001,2015-03-17T06:00Z,2015-03-17T09:00Z,6,NOAA,2015-03-15T02:00:00-CME-001;2015-03-17T04:05:00-IPS-001;2015-03-16T00:00:00-HSS-001;
2015-03-17T06:00:00-GST-001,2015-03-17T06:00Z,2015-03-17T12:00Z,6,NOAA,2015-03-15T02:00:00-CME-001;2015-03-17T04:05:00-IPS-001;2015-03-16T00:00:00-HSS-001;
2015-03-17T06:00:00-GST-001,2015-03-17T06:00Z,2015-03-17T15:00Z,8,NOAA,2015-03-15T02:00:00-CME-001;2015-03-17T04:05:00-IPS-001;2015-03-16T00:00:00-HSS-001;
2015-03-17T06:00:00-GST-001,2015-03-17T06:00Z,2015-03-17T18:00Z,8,NOAA,2015-03-15T02:00:00-CME-001;2015-03-17T04:05:00-IPS-001;2015-03-16T00:00:00-HSS-001;
2015-03-17T06:00:00-GST-001,2015-03-17T06:00Z,2015-03-17T21:00Z,7,NOAA,2015-03-15T02:00:00-CME-001;2015-03-17T04:05:00-IPS-001;2015-03-16T00:00:00-HSS-001;
2015-03-17T06:00:00-GST-001,2015-03-17T06:00Z,2015-03-18T00:00Z,8,NOAA,2015-03-15T02:00:00-CME-001;2015-03-17T04:05:00-IPS-001;2015-03-16T00:00:00-HSS-001;
