SEP ID,Event Time,Instruments,Linked Events Activity ID
2013-05-22T15:05:00-SEP-001,2013-05-22T15:05Z,GOES13: SEM/EPS >10 MeV;,2013-05-22T12:30:00-FLR-001;2013-05-22T13:24:00-CME-001;
2013-05-22T15:05:00-SEP-002,2013-05-22T15:05Z,GOES13: SEM/EPS >100 MeV;,2013-05-22T12:30:00-FLR-001;2013-05-22T13:24:00-CME-001;
2013-05-22T15:30:00-SEP-001,2013-05-22T15:30Z,SOHO: COSTEP 15.8-39.8 MeV;,2013-05-22T12:30:00-FLR-001;2013-05-22T13:24:00-CME-001;
2013-06-21T06:09:00-SEP-001,2013-06-21T06:09Z,STEREO B: IMPACT 13-100 MeV,2013-06-21T02:30:00-FLR-001
2013-06-23T20:10:00-SEP-001,2013-06-23T20:10Z,GOES13: SEM/EPS >10 MeV,2013-06-21T03:24:00-CME-001
2013-08-20T05:54:00-SEP-001,2013-08-20T05:54Z,STEREO A: IMPACT 13-100 MeV,None
2013-08-21T06:57:00-SEP-001,2013-08-21T06:57Z,STEREO B: IMPACT 13-100 MeV,None
2013-09-30T05:05:00-SEP-001,2013-09-30T05:05Z,GOES13: SEM/EPS >10 MeV,2013-09-29T22:40:00-CME-001
2013-10-05T12:55:00-SEP-001,2013-10-05T12:55Z,STEREO A: IMPACT 13-100 MeV,2013-10-05T07:09:00-CME-001
2013-10-11T08:17:00-SEP-001,2013-10-11T08:17Z,STEREO A: IMPACT 13-100 MeV,2013-10-11T07:24:00-CME-001
2013-10-11T11:46:00-SEP-001,2013-10-11T11:46Z,STEREO B: IMPACT 13-100 MeV,2013-10-11T07:24:00-CME-001
2013-10-25T13:36:00-SEP-001,2013-10-25T13:36Z,STEREO B: IMPACT 13-100 MeV;,2013-10-25T07:53:00-FLR-001;2013-10-25T08:24:00-CME-001;
2013-11-02T05:08:00-SEP-001,2013-11-02T05:08Z,STEREO A: IMPACT 13-100 MeV,None
2013-11-04T10:43:00-SEP-001,2013-11-04T10:43Z,STEREO A: IMPACT 13-100 MeV,2013-11-02T04:48:00-CME-001
2013-11-07T11:16:00-SEP-001,2013-11-07T11:16Z,STEREO A: IMPACT 13-100 MeV,2013-11-07T10:39:00-CME-001
2013-11-07T14:26:00-SEP-001,2013-11-07T14:26Z,STEREO B: IMPACT 13-100 MeV,2013-11-07T10:39:00-CME-001
2013-12-01T21:48:00-SEP-001,2013-12-01T21:48Z,STEREO A: IMPACT 13-100 MeV;,2013-11-29T19:39:00-CME-001;2013-12-01T22:29:00-IPS-001;
2013-12-26T08:44:00-SEP-001,2013-12-26T08:44Z,STEREO B: IMPACT 13-100 MeV,2013-12-26T03:40:00-CME-001
2013-12-26T08:53:00-SEP-001,2013-12-26T08:53Z,STEREO A: IMPACT 13-100 MeV,2013-12-26T03:40:00-CME-001
2013-12-28T21:50:00-SEP-002,2013-12-28T21:50Z,SOHO: COSTEP 15.8-39.8 MeV,2013-12-28T18:00:00-CME-001
2013-12-28T21:50:00-SEP-001,2013-12-28T21:50Z,GOES13: SEM/EPS >10 MeV,2013-12-28T18:00:00-CME-001
2014-01-06T08:30:00-SEP-001,2014-01-06T08:30Z,GOES13: SEM/EPS >100 MeV,2014-01-06T08:09:00-CME-001
2014-01-06T09:15:00-SEP-001,2014-01-06T09:15Z,GOES13: SEM/EPS >10 MeV,2014-01-06T08:09:00-CME-001
2014-01-06T10:00:00-SEP-001,2014-01-06T10:00Z,SOHO: COSTEP 15.8-39.8 MeV,2014-01-06T08:09:00-CME-001
2014-01-07T19:45:00-SEP-001,2014-01-07T19:45Z,GOES13: SEM/EPS >10 MeV;,2014-01-07T18:02:00-FLR-001;2014-01-07T18:24:00-CME-001;
2014-01-07T20:30:00-SEP-002,2014-01-07T20:30Z,SOHO: COSTEP 15.8-39.8 MeV;,2014-01-07T18:02:00-FLR-001;2014-01-07T18:24:00-CME-001;
2014-01-07T20:30:00-SEP-001,2014-01-07T20:30Z,GOES13: SEM/EPS >100 MeV;,2014-01-07T18:02:00-FLR-001;2014-01-07T18:24:00-CME-001;
2014-01-08T21:31:00-SEP-001,2014-01-08T21:31Z,STEREO A: IMPACT 13-100 MeV;,2014-01-06T08:09:00-CME-001;2014-01-07T18:24:00-CME-001;2014-01-08T17:00:00-IPS-001;
